date,site,turnover,url
2018-10-15 06:06:01,爱钱进,"1,535.11 亿 已完成出借金额(元)",https://www.iqianjin.com/
2018-10-15 06:06:02,拍拍贷,"134,659,191,366.26 元",https://map.invest.ppdai.com/
2018-10-15 06:06:03,宜信贷,888亿6377万元 累计交易总额,http://www.yidai.com/
2018-10-15 06:06:03,积木,528.37 亿元 累计交易量,https://www.jimu.com/Home/Security
2018-10-15 06:06:06,点融,当年成交金额（万元） 572006.77,https://www.dianrong.com/market
2018-10-15 06:06:06,有利,"￥ 87,329,088,826 交易总额已在有利网完成",https://www.yooli.com/
2018-10-15 06:06:06,麻袋财富,"累计投资金额 83,537,399,937 元",https://www.madailicai.com/
2018-10-15 06:06:06,小赢理财,为用户赚取 34 亿 3315 万 元,https://www.xiaoying.com/
2018-10-15 06:06:06,PPMoney,累计现金交易总额 1095 亿 4079 万 8343 元,https://www.ppmoney.com/
2018-10-15 06:06:06,向上金服,累计成交业务额 490 亿元,https://www.xiangshang360.cn/xweb/index/
2018-10-15 06:06:06,和信贷,"累计成交额（元） 25,963,260,925",https://www.hexindai.com
2018-10-15 06:06:06,翼龙贷,成交额 . 亿元,https://www.eloancn.com/
2018-10-15 06:06:07,人人贷,714.06 亿 累计成交金额,https://www.renrendai.com/about/operate/dataReveal
2018-10-15 06:06:07,微贷,累计成交额 2260.58 亿元,https://www.weidai.com.cn/home/index/index.html
2018-10-15 06:06:07,投哪,累计成交金额 565.48 亿元,https://www.touna.cn/
2018-10-15 06:06:07,理财农场,累计成交额： 153 亿 257 万元,https://www.lcfarm.com/
2018-10-15 06:06:24,你我贷,,http://www.niwodai.com/
2018-10-15 06:06:25,博金贷,累计借贷金额 220 亿 798 万元,https://www.bjdp2p.com/toDataInfo.page
2018-10-15 06:06:28,银湖网,累计出借金额 111 亿 8364 万 1065.27 元,https://www.yinhu.com/main.bl
2018-10-15 06:09:20,杉易贷,21 亿 8635 万 4900 元 累计借贷金额,https://www.33lend.com
